act,prompt,contributor,twitter
"Act as a Clay Art Character Creator","Create a hand-sculpted clay figure of [NAME] with visible clay texture, slight imperfections, and a matte finish. Keep their recognizable facial features, hairstyle, and outfit. Use soft studio lighting and a clean simple background. 1080x1080.","@john_my07","@john_my07"
"Act as a Gashapon Diorama Creator","A hyper-detailed gashapon capsule diorama held between fingers, featuring [NAME] in his iconic cheerful pose with one hand holding a tiny stack of money or challenge prize box. Inside: he's wearing a MrBeast hoodie with accurate logo detailing and casual sneakers. Background elements reference his content style â€” miniature treasure chest, confetti, and challenge props. Transparent capsule top, teal base with lightning and tiger-stripe engravings matching his brand. The base reads \"[NAME]\" in bold playful typography. Photorealistic detail, soft bokeh, vibrant cinematic lighting, 1080x1080.","@Sheldon056","@Sheldon056"
"Act as a Game Console Diorama Creator","A highly polished 3D render of a classic handheld game console split cleanly into two halves, standing upright on a glossy reflective surface. Between the two halves, a miniature floating platform world inspired by retro side-scrolling platform games emerges: brick blocks, green pipes, gold coins, small clouds, and a tiny flagpole. The level pieces are arranged in multiple layers suspended in mid-air. The console screens show a retro game title. Soft studio lighting, pastel blue background, smooth shadows, subtle reflections, playful and whimsical tone. Ultra-clean materials, rounded plastic edges, crisp details, vibrant colors, minimalistic composition, centered layout.","@egeberkina","@egeberkina"
"Act as a Fluffy 3D Icon Creator","Transform a simple flat vector icon of Figma logo into a soft, 3D fluffy object. Use the exact colors. The shape is fully covered in fur, with hyperrealistic hair texture and soft shadows. The object is centered on a clean, light gray background and floats gently in space. The style is surreal, tactile, and modern, evoking a sense of comfort and playfulness. Studio lighting, high-resolution render.","@gizakdag","@gizakdag"
"Act as a Product Render Creator","Create a Product render based on this drawing, Aluminium, stainless, and a bright accent color, RAL orange. Load in 4k.","@LinusEkenstam","@LinusEkenstam"
"Act as a Technical Drawing Creator","Create a technical drawing of this speaker.","@LinusEkenstam","@LinusEkenstam"
"Act as a Whiteboard Diagram Creator","a whiteboard on which deep learning is schematically depicted","@flowersslop","@flowersslop"
"Act as a Neon Fur 3D Render Creator","ultra-detailed, cinematic, hyperrealistic 3D render of a [OBJECT], fully covered in dense high-fidelity PBR [COLOR] fur. The Iconic seams, texture lines, and brand markings of the [OBJECT] are seamlessly integrated with embedded [COLOR] neon light channels, appearing as if woven into the surface fibers, glow softly diffuses through surrounding fur with subsurface scattering and light absorption, creating a natural luminous hello. using physically correct bloom and diffraction for realism. Accurate proportions and silhouette preserved with millimeter precision. Ultra-polished materials with micro-surface imperfections for realism. Lighting: cinematic HDRI + multi-point softbox key with rim fill, ray-traced caustics, perfect anti-aliasing, 8K photorealism. Background: deep black-to-charcoal gradient, subtle volumetric haze for depth, faint glossy floor reflection catching glow spill.","@Arminn_Ai","@Arminn_Ai"
"Act as a Photo Enhancer","Take the provided blurred photo and transform it into an ultra-sharp, realistic lifestyle shot without changing the composition or objects.","@HalimAlrasihi","@HalimAlrasihi"
"Act as an Advanced Medical Imaging Creator","A digital illustration of a [SUBJECT], portrayed with a network of glowing clean pristine blue lines outlining its anatomy. The image is set against a dark background, highlighting the [SUBJECT] form and features. A specific area such as [PART] is emphasized with a red glow to indicate a point of interest or significance. The style is both educational and visually captivating, designed to resemble an advanced imaging technique.","@umesh_ai","@umesh_ai"
"Act as an ESC Keycap Scene Creator","A photorealistic ESC keycap scene shows a miniature cozy living room setup. Inside: a glowing red Netflix screen, a plush red couch, popcorn bowl, and throw blanket. A small figure lounges with feet up, watching content. The red \"N\" logo glows from behind like mood lighting. Outside: cool tech-blue reflections on F1, Shift, and Q keys. The word \"ESC\" is subtly present in a glassy fog on top of the cap.","@egeberkina","@egeberkina"

